frame,time_seconds,object_count,detected_object_count,collision_candidate_count,max_risk_score,max_risk_status,max_risk_object,max_risk_track_id,max_risk_ttc_seconds
0,0.0,0,12,0,0.0,SAFE,,,
1,0.033,0,12,0,0.0,SAFE,,,
2,0.067,0,11,0,0.0,SAFE,,,
3,0.1,0,10,0,0.0,SAFE,,,
4,0.133,0,10,0,0.0,SAFE,,,
5,0.167,0,10,0,0.0,SAFE,,,
6,0.2,0,10,0,0.0,SAFE,,,
7,0.233,0,10,0,0.0,SAFE,,,
8,0.267,0,10,0,0.0,SAFE,,,
9,0.3,0,10,0,0.0,SAFE,,,
10,0.333,0,10,0,0.0,SAFE,,,
11,0.367,0,9,0,0.0,SAFE,,,
12,0.4,0,9,0,0.0,SAFE,,,
13,0.433,0,10,0,0.0,SAFE,,,
14,0.467,0,10,0,0.0,SAFE,,,
15,0.5,0,11,0,0.0,SAFE,,,
16,0.533,0,9,0,0.0,SAFE,,,
17,0.567,0,8,0,0.0,SAFE,,,
18,0.6,0,8,0,0.0,SAFE,,,
19,0.633,0,7,0,0.0,SAFE,,,
20,0.667,0,6,0,0.0,SAFE,,,
21,0.7,0,6,0,0.0,SAFE,,,
22,0.733,0,6,0,0.0,SAFE,,,
23,0.767,0,6,0,0.0,SAFE,,,
24,0.8,0,5,0,0.0,SAFE,,,
25,0.833,0,6,0,0.0,SAFE,,,
26,0.867,0,6,0,0.0,SAFE,,,
27,0.9,0,6,0,0.0,SAFE,,,
28,0.933,0,6,0,0.0,SAFE,,,
29,0.967,0,6,0,0.0,SAFE,,,
30,1.0,0,6,0,0.0,SAFE,,,
31,1.033,0,4,0,0.0,SAFE,,,
32,1.067,0,8,0,0.0,SAFE,,,
33,1.1,0,7,0,0.0,SAFE,,,
34,1.133,0,8,0,0.0,SAFE,,,
35,1.167,0,7,0,0.0,SAFE,,,
36,1.2,0,7,0,0.0,SAFE,,,
37,1.233,0,9,0,0.0,SAFE,,,
38,1.267,0,8,0,0.0,SAFE,,,
39,1.3,0,8,0,0.0,SAFE,,,
40,1.333,0,8,0,0.0,SAFE,,,
41,1.367,0,8,0,0.0,SAFE,,,
42,1.4,0,8,0,0.0,SAFE,,,
43,1.433,0,8,0,0.0,SAFE,,,
44,1.467,0,8,0,0.0,SAFE,,,
45,1.5,0,8,0,0.0,SAFE,,,
46,1.533,0,7,0,0.0,SAFE,,,
47,1.567,0,8,0,0.0,SAFE,,,
48,1.6,0,10,0,0.0,SAFE,,,
49,1.633,0,11,0,0.0,SAFE,,,
50,1.667,0,12,0,0.0,SAFE,,,
51,1.7,0,11,0,0.0,SAFE,,,
52,1.733,0,10,0,0.0,SAFE,,,
53,1.767,0,9,0,0.0,SAFE,,,
54,1.8,0,10,0,0.0,SAFE,,,
55,1.833,0,7,0,0.0,SAFE,,,
56,1.867,0,8,0,0.0,SAFE,,,
57,1.9,0,7,0,0.0,SAFE,,,
58,1.933,0,7,0,0.0,SAFE,,,
59,1.967,0,7,0,0.0,SAFE,,,
60,2.0,0,7,0,0.0,SAFE,,,
61,2.033,0,8,0,0.0,SAFE,,,
62,2.067,0,8,0,0.0,SAFE,,,
63,2.1,0,9,0,0.0,SAFE,,,
64,2.133,0,8,0,0.0,SAFE,,,
65,2.167,0,8,0,0.0,SAFE,,,
66,2.2,0,9,0,0.0,SAFE,,,
67,2.233,0,9,0,0.0,SAFE,,,
68,2.267,0,9,0,0.0,SAFE,,,
69,2.3,0,9,0,0.0,SAFE,,,
70,2.333,0,9,0,0.0,SAFE,,,
71,2.367,0,8,0,0.0,SAFE,,,
72,2.4,0,9,0,0.0,SAFE,,,
73,2.433,0,10,0,0.0,SAFE,,,
74,2.467,0,8,0,0.0,SAFE,,,
75,2.5,0,8,0,0.0,SAFE,,,
76,2.533,0,8,0,0.0,SAFE,,,
77,2.567,0,9,0,0.0,SAFE,,,
78,2.6,0,8,0,0.0,SAFE,,,
79,2.633,0,9,0,0.0,SAFE,,,
80,2.667,0,10,0,0.0,SAFE,,,
81,2.7,0,10,0,0.0,SAFE,,,
82,2.733,0,9,0,0.0,SAFE,,,
83,2.767,0,10,0,0.0,SAFE,,,
84,2.8,0,9,0,0.0,SAFE,,,
85,2.833,0,9,0,0.0,SAFE,,,
86,2.867,0,8,0,0.0,SAFE,,,
87,2.9,0,8,0,0.0,SAFE,,,
88,2.933,0,8,0,0.0,SAFE,,,
89,2.967,0,8,0,0.0,SAFE,,,
90,3.0,0,8,0,0.0,SAFE,,,
91,3.033,0,8,0,0.0,SAFE,,,
92,3.067,0,8,0,0.0,SAFE,,,
93,3.1,0,8,0,0.0,SAFE,,,
94,3.133,0,8,0,0.0,SAFE,,,
95,3.167,0,8,0,0.0,SAFE,,,
96,3.2,0,8,0,0.0,SAFE,,,
97,3.233,0,8,0,0.0,SAFE,,,
98,3.267,0,8,0,0.0,SAFE,,,
99,3.3,0,9,0,0.0,SAFE,,,
100,3.333,0,8,0,0.0,SAFE,,,
101,3.367,0,9,0,0.0,SAFE,,,
102,3.4,0,8,0,0.0,SAFE,,,
103,3.433,0,9,0,0.0,SAFE,,,
104,3.467,0,10,0,0.0,SAFE,,,
105,3.5,0,11,0,0.0,SAFE,,,
106,3.533,0,10,0,0.0,SAFE,,,
107,3.567,0,11,0,0.0,SAFE,,,
108,3.6,0,10,0,0.0,SAFE,,,
109,3.633,0,11,0,0.0,SAFE,,,
110,3.667,0,10,0,0.0,SAFE,,,
111,3.7,0,10,0,0.0,SAFE,,,
112,3.733,0,10,0,0.0,SAFE,,,
113,3.767,0,9,0,0.0,SAFE,,,
114,3.8,0,10,0,0.0,SAFE,,,
115,3.833,0,10,0,0.0,SAFE,,,
116,3.867,0,9,0,0.0,SAFE,,,
117,3.9,0,9,0,0.0,SAFE,,,
118,3.933,0,9,0,0.0,SAFE,,,
119,3.967,0,9,0,0.0,SAFE,,,
120,4.0,0,9,0,0.0,SAFE,,,
121,4.033,0,9,0,0.0,SAFE,,,
122,4.067,0,9,0,0.0,SAFE,,,
123,4.1,0,9,0,0.0,SAFE,,,
124,4.133,0,10,0,0.0,SAFE,,,
125,4.167,0,10,0,0.0,SAFE,,,
126,4.2,0,10,0,0.0,SAFE,,,
127,4.233,0,10,0,0.0,SAFE,,,
128,4.267,0,10,0,0.0,SAFE,,,
129,4.3,0,10,0,0.0,SAFE,,,
130,4.333,0,10,0,0.0,SAFE,,,
131,4.367,0,10,0,0.0,SAFE,,,
132,4.4,0,10,0,0.0,SAFE,,,
133,4.433,0,10,0,0.0,SAFE,,,
134,4.467,0,10,0,0.0,SAFE,,,
135,4.5,0,10,0,0.0,SAFE,,,
136,4.533,0,11,0,0.0,SAFE,,,
137,4.567,0,10,0,0.0,SAFE,,,
138,4.6,0,11,0,0.0,SAFE,,,
139,4.633,0,12,0,0.0,SAFE,,,
140,4.667,0,12,0,0.0,SAFE,,,
141,4.7,0,13,0,0.0,SAFE,,,
142,4.733,0,11,0,0.0,SAFE,,,
143,4.767,0,12,0,0.0,SAFE,,,
144,4.8,0,12,0,0.0,SAFE,,,
145,4.833,0,12,0,0.0,SAFE,,,
146,4.867,0,14,0,0.0,SAFE,,,
147,4.9,0,13,0,0.0,SAFE,,,
148,4.933,0,13,0,0.0,SAFE,,,
149,4.967,0,13,0,0.0,SAFE,,,
150,5.0,0,13,0,0.0,SAFE,,,
151,5.033,0,13,0,0.0,SAFE,,,
152,5.067,0,13,0,0.0,SAFE,,,
153,5.1,0,12,0,0.0,SAFE,,,
